Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days,stock
+5Y,1,,0.1102,,,,,,,,,,,,,,,,,,,,,,CI
-5Y,1,,0.1814,,,,,,,,,,,,,,,,,,,,,,CI
0Q,1,2021-12-31,0.059,1.25,1.17,1.33,1.18,16.0,0.059,5573670000.0,5465000000.0,5674660000.0,14.0,5679000000.0,-0.019,1.25,1.25,1.25,1.26,1.23,0.0,1.0,1.0,,TFC
+1Q,1,2022-03-31,-0.034,1.14,1.03,1.26,1.18,15.0,-0.034,5482000000.0,5421000000.0,5540560000.0,10.0,5468520000.0,0.002,1.14,1.14,1.14,1.15,1.14,0.0,3.0,2.0,,TFC
0Y,1,2021-12-31,0.426,5.42,5.36,5.49,3.8,12.0,0.426,22344400000.0,22195000000.0,22451700000.0,15.0,22830000000.0,-0.021,5.42,5.42,5.42,5.41,5.14,1.0,2.0,0.0,,TFC
+1Y,1,2022-12-31,-0.103,4.86,4.5,5.27,5.42,17.0,-0.103,22522400000.0,22236300000.0,23097600000.0,15.0,22344400000.0,0.008,4.86,4.86,4.83,4.86,4.94,0.0,7.0,2.0,,TFC
+5Y,1,,0.046,,,,,,,,,,,,,,,,,,,,,,TFC
-5Y,1,,0.099980004,,,,,,,,,,,,,,,,,,,,,,TFC
0Q,1,2021-12-31,1.265,0.77,0.71,0.83,0.34,15.0,1.265,1631330000.0,1603000000.0,1649000000.0,15.0,1493000000.0,0.093,0.77,0.77,0.78,0.77,0.78,1.0,1.0,0.0,,CCI
+1Q,1,2022-03-31,1.857,0.8,0.77,0.84,0.28,10.0,1.857,1634080000.0,1601000000.0,1656970000.0,8.0,1485000000.0,0.1,0.8,0.8,0.8,0.81,0.79,0.0,0.0,0.0,,CCI
0Y,1,2021-12-31,0.73300004,2.6,2.5,2.68,1.5,15.0,0.73300004,6315110000.0,6289000000.0,6334630000.0,18.0,5840000000.0,0.081,2.6,2.6,2.6,2.6,2.59,0.0,2.0,1.0,,CCI
+1Y,1,2022-12-31,0.273,3.31,3.05,3.44,2.6,18.0,0.273,6631730000.0,6557360000.0,6730000000.0,18.0,6315110000.0,0.05,3.31,3.31,3.29,3.29,3.22,0.0,2.0,1.0,,CCI
+5Y,1,,0.17899999,,,,,,,,,,,,,,,,,,,,,,CCI
-5Y,1,,0.054109998,,,,,,,,,,,,,,,,,,,,,,CCI
0Q,1,2021-12-31,0.126,1.34,1.19,1.41,1.19,16.0,0.126,4960000000.0,4901000000.0,5023000000.0,6.0,4416000000.0,0.123,1.34,1.34,1.34,1.35,1.36,0.0,0.0,0.0,,MMC
+1Q,1,2022-03-31,0.101,2.19,2.1,2.31,1.99,14.0,0.101,5528000000.0,5370000000.0,5714000000.0,6.0,4793820000.0,0.153,2.19,2.19,2.19,2.18,2.14,1.0,2.0,0.0,,MMC
0Y,1,2021-12-31,0.237,6.15,6.0,6.22,4.97,17.0,0.237,19585500000.0,19222000000.0,19706000000.0,8.0,17224000000.0,0.137,6.15,6.15,6.15,6.15,6.06,1.0,1.0,0.0,,MMC
+1Y,1,2022-12-31,0.094,6.73,6.45,6.98,6.15,17.0,0.094,21044000000.0,20382000000.0,21705000000.0,8.0,19585500000.0,0.074,6.73,6.72,6.72,6.7,6.57,1.0,2.0,0.0,,MMC
+5Y,1,,0.129,,,,,,,,,,,,,,,,,,,,,,MMC
-5Y,1,,0.1129,,,,,,,,,,,,,,,,,,,,,,MMC
0Q,1,2021-12-31,-0.306,1.52,1.21,2.13,2.19,21.0,-0.306,6475840000.0,6220750000.0,7090000000.0,19.0,7421000000.0,-0.127,1.52,1.51,1.53,1.53,1.5,1.0,1.0,0.0,,GILD
+1Q,1,2022-03-31,-0.16299999,1.74,1.55,2.23,2.08,10.0,-0.16299999,5888480000.0,5404000000.0,6202910000.0,9.0,6423000000.0,-0.083000004,1.74,1.74,1.74,1.77,1.79,0.0,0.0,0.0,,GILD
0Y,1,2021-12-31,0.14,8.08,7.54,8.73,7.09,25.0,0.14,26512500000.0,26281800000.0,27151000000.0,27.0,24689000000.0,0.074,8.08,8.08,8.09,8.11,7.13,1.0,2.0,0.0,,GILD
+1Y,1,2022-12-31,-0.158,6.8,5.52,8.43,8.08,25.0,-0.158,24175500000.0,22344000000.0,25704000000.0,27.0,26512500000.0,-0.088,6.8,6.8,6.79,6.79,6.71,1.0,2.0,0.0,,GILD
+5Y,1,,0.013200001,,,,,,,,,,,,,,,,,,,,,,GILD
-5Y,1,,-0.12104999,,,,,,,,,,,,,,,,,,,,,,GILD
0Q,1,2022-01-31,0.82,0.91,0.83,0.96,0.5,22.0,0.82,14264300000.0,13833000000.0,14813000000.0,18.0,10943200000.0,0.303,0.91,0.91,0.9,0.91,0.91,0.0,2.0,0.0,,TJX
+1Q,1,2022-04-30,0.38599998,0.61,0.49,0.72,0.44,16.0,0.38599998,11140300000.0,10662000000.0,11772800000.0,12.0,10086700000.0,0.103999995,0.61,0.61,0.61,0.62,0.62,0.0,0.0,0.0,,TJX
0Y,1,2022-01-31,8.613,2.98,2.9,3.03,0.31,23.0,8.613,48853100000.0,46532000000.0,49509000000.0,21.0,32137000000.0,0.52,2.98,2.98,2.97,2.94,2.95,0.0,4.0,1.0,,TJX
+1Y,1,2023-01-31,0.124,3.35,2.91,3.56,2.98,25.0,0.124,52356200000.0,48626000000.0,53427900000.0,21.0,48853100000.0,0.072,3.35,3.35,3.36,3.39,3.38,0.0,1.0,1.0,,TJX
+5Y,1,,1.344,,,,,,,,,,,,,,,,,,,,,,TJX
-5Y,1,,0.10682999,,,,,,,,,,,,,,,,,,,,,,TJX
0Q,1,2021-12-31,0.158,1.1,0.98,1.26,0.95,21.0,0.158,5752200000.0,5678600000.0,5824760000.0,11.0,5725000000.0,0.005,1.1,1.11,1.11,1.12,1.14,0.0,1.0,3.0,,USB
+1Q,1,2022-03-31,-0.29700002,1.02,0.93,1.07,1.45,16.0,-0.29700002,5692190000.0,5634690000.0,5740000000.0,5.0,5444000000.0,0.046,1.02,1.02,1.02,1.02,1.04,1.0,3.0,0.0,,USB
0Y,1,2021-12-31,0.68,5.14,5.01,5.3,3.06,23.0,0.68,22830100000.0,22655000000.0,23024000000.0,15.0,23226000000.0,-0.017,5.14,5.14,5.15,5.15,5.0,0.0,2.0,3.0,,USB
+1Y,1,2022-12-31,-0.165,4.29,3.4,4.64,5.14,16.0,-0.165,25213800000.0,24592200000.0,25770000000.0,9.0,22830100000.0,0.103999995,4.29,4.29,4.18,4.3,4.43,1.0,6.0,1.0,,USB
+5Y,1,,0.1306,,,,,,,,,,,,,,,,,,,,,,USB
-5Y,1,,0.08180001,,,,,,,,,,,,,,,,,,,,,,USB
0Q,1,2021-12-31,-0.255,0.35,0.3,0.38,0.47,12.0,-0.255,4758600000.0,4008440000.0,5451170000.0,5.0,5117000000.0,-0.07,0.35,0.35,0.35,0.31,0.32,0.0,3.0,0.0,,SO
+1Q,1,2022-03-31,-0.111999996,0.87,0.82,0.94,0.98,5.0,-0.111999996,5567160000.0,5247690000.0,5886630000.0,2.0,5487750000.0,0.0139999995,0.87,0.87,0.87,0.88,0.87,0.0,0.0,0.0,,SO
0Y,1,2021-12-31,0.04,3.38,3.3,3.42,3.25,18.0,0.04,21854700000.0,21009000000.0,22527000000.0,12.0,20375000000.0,0.073,3.38,3.38,3.37,3.34,3.34,1.0,5.0,0.0,,SO
+1Y,1,2022-12-31,0.047,3.54,3.46,3.62,3.38,18.0,0.047,22627000000.0,21092300000.0,23663000000.0,12.0,21854700000.0,0.035,3.54,3.54,3.53,3.54,3.54,1.0,5.0,0.0,,SO
+5Y,1,,0.062,,,,,,,,,,,,,,,,,,,,,,SO
-5Y,1,,0.03958,,,,,,,,,,,,,,,,,,,,,,SO
0Q,1,2021-12-31,0.15,1.3,1.21,1.36,1.13,15.0,0.15,1806310000.0,1744950000.0,1864800000.0,12.0,1671000000.0,0.081,1.3,1.3,1.3,1.29,1.22,0.0,5.0,0.0,,ICE
+1Q,1,2022-03-31,0.015,1.36,1.3,1.44,1.34,14.0,0.015,1847320000.0,1815100000.0,1899680000.0,9.0,1772780000.0,0.042,1.36,1.36,1.35,1.34,1.29,0.0,4.0,0.0,,ICE
0Y,1,2021-12-31,0.133,5.11,5.01,5.16,4.51,18.0,0.133,7107320000.0,7033160000.0,7170800000.0,17.0,6036000000.0,0.177,5.11,5.11,5.1,5.1,4.89,0.0,5.0,0.0,,ICE
+1Y,1,2022-12-31,0.086,5.55,5.3,5.89,5.11,18.0,0.086,7419400000.0,7251340000.0,7881440000.0,17.0,7107320000.0,0.044,5.55,5.55,5.52,5.49,5.24,1.0,6.0,0.0,,ICE
+5Y,1,,0.1142,,,,,,,,,,,,,,,,,,,,,,ICE
-5Y,1,,0.14579001,,,,,,,,,,,,,,,,,,,,,,ICE
0Q,1,2021-12-31,-0.633,0.22,-0.07,0.96,0.6,20.0,-0.633,21050100000.0,20102000000.0,21639000000.0,20.0,20341000000.0,0.035,0.22,0.22,0.22,0.26,0.35,0.0,2.0,2.0,,TMUS
+1Q,1,2022-03-31,0.068,0.79,0.54,1.09,0.74,10.0,0.068,20204500000.0,19775000000.0,20670800000.0,7.0,18904400000.0,0.069,0.79,0.79,0.8,0.79,0.85,0.0,0.0,1.0,,TMUS
0Y,1,2021-12-31,-0.125,2.32,2.0,3.13,2.65,25.0,-0.125,80235000000.0,78592000000.0,80972000000.0,27.0,68397000000.0,0.173,2.32,2.32,2.32,2.43,2.48,0.0,1.0,2.0,,TMUS
+1Y,1,2022-12-31,0.397,3.24,1.25,5.61,2.32,25.0,0.397,82021200000.0,77150000000.0,85041000000.0,27.0,80235000000.0,0.022,3.24,3.24,3.3,3.3,3.54,0.0,2.0,2.0,,TMUS
+5Y,1,,0.426,,,,,,,,,,,,,,,,,,,,,,TMUS
-5Y,1,,0.48783,,,,,,,,,,,,,,,,,,,,,,TMUS
0Q,1,2021-12-31,0.41,8.5,8.29,8.82,6.03,21.0,0.41,4411690000.0,4354100000.0,4500000000.0,19.0,,,8.5,8.5,8.51,8.5,8.45,0.0,1.0,0.0,,LRCX
+1Q,1,2022-03-31,0.162,8.7,8.4,9.39,7.49,21.0,0.162,4488880000.0,4283080000.0,4688530000.0,19.0,,,8.7,8.7,8.69,8.7,8.65,0.0,3.0,0.0,,LRCX
0Y,1,2022-06-30,0.27,34.64,33.46,38.53,27.28,24.0,0.27,17779600000.0,17482900000.0,18329500000.0,23.0,14626200000.0,0.216,34.64,34.64,34.6,34.63,34.02,0.0,4.0,0.0,,LRCX
+1Y,1,2023-06-30,0.058000002,36.65,31.44,42.88,34.64,22.0,0.058000002,18542600000.0,17337900000.0,20300000000.0,22.0,17779600000.0,0.043,36.65,36.65,36.53,36.27,35.34,0.0,4.0,0.0,,LRCX
+5Y,1,,0.16059999,,,,,,,,,,,,,,,,,,,,,,LRCX
-5Y,1,,0.33791,,,,,,,,,,,,,,,,,,,,,,LRCX
0Q,1,2021-12-31,3.5070002,3.2,2.58,3.6,0.71,25.0,3.5070002,5883500000.0,5334700000.0,6074000000.0,9.0,2965500000.0,0.984,3.2,3.19,3.17,2.92,2.33,1.0,1.0,1.0,,EOG
+1Q,1,2022-03-31,0.59900004,2.59,2.26,3.57,1.62,24.0,0.59900004,5298850000.0,5032730000.0,5651260000.0,9.0,3694000000.0,0.43400002,2.59,2.6,2.65,2.54,2.14,0.0,0.0,2.0,,EOG
0Y,1,2021-12-31,4.932,8.66,7.41,9.12,1.46,27.0,4.932,18490500000.0,17932700000.0,18900500000.0,6.0,11032000000.0,0.676,8.66,8.64,8.62,8.22,7.63,1.0,1.0,1.0,,EOG
+1Y,1,2022-12-31,0.141,9.88,7.97,13.9,8.66,29.0,0.141,20741700000.0,18768800000.0,22128600000.0,10.0,18490500000.0,0.122,9.88,9.95,10.01,9.54,8.38,1.0,1.0,1.0,,EOG
+5Y,1,,0.71099997,,,,,,,,,,,,,,,,,,,,,,EOG
-5Y,1,,0.55646,,,,,,,,,,,,,,,,,,,,,,EOG
0Q,1,2021-12-31,1.282,0.89,0.72,1.07,0.39,15.0,1.282,6518070000.0,6003000000.0,7509000000.0,7.0,4495000000.0,0.45,0.89,0.88,0.86,0.85,0.87,1.0,2.0,0.0,,FCX
+1Q,1,2022-03-31,0.62700003,0.83,0.62,1.12,0.51,13.0,0.62700003,6220650000.0,5279800000.0,7001100000.0,4.0,4850000000.0,0.283,0.83,0.83,0.81,0.83,0.91,1.0,2.0,0.0,,FCX
0Y,1,2021-12-31,4.685,3.07,2.87,3.24,0.54,19.0,4.685,23024200000.0,22404000000.0,24190000000.0,18.0,14198000000.0,0.622,3.07,3.06,3.04,3.03,2.97,1.0,3.0,0.0,,FCX
+1Y,1,2022-12-31,0.156,3.55,2.41,5.45,3.07,21.0,0.156,25241400000.0,20718200000.0,29974000000.0,18.0,23024200000.0,0.096,3.55,3.55,3.41,3.36,3.54,0.0,3.0,0.0,,FCX
+5Y,1,,0.289,,,,,,,,,,,,,,,,,,,,,,FCX
-5Y,1,,-0.09789,,,,,,,,,,,,,,,,,,,,,,FCX
0Q,1,2021-12-31,0.145,6.93,5.22,8.88,6.05,19.0,0.145,13246900000.0,12939000000.0,13593000000.0,21.0,12624000000.0,0.049000002,6.93,6.93,6.96,6.99,6.2,0.0,3.0,2.0,,CHTR
+1Q,1,2022-03-31,0.73,7.11,6.03,7.95,4.11,9.0,0.73,13295800000.0,13063900000.0,13556900000.0,8.0,12522000000.0,0.062,7.11,7.11,7.12,7.12,6.53,0.0,0.0,1.0,,CHTR
0Y,1,2021-12-31,0.466,22.58,21.09,24.45,15.4,18.0,0.466,51720300000.0,51290000000.0,52063000000.0,27.0,48097000000.0,0.075,22.58,22.58,22.66,22.67,21.28,0.0,2.0,1.0,,CHTR
+1Y,1,2022-12-31,0.385,31.27,25.59,35.62,22.58,24.0,0.385,54327100000.0,53656000000.0,55435500000.0,26.0,51720300000.0,0.05,31.27,31.38,31.54,31.72,30.02,0.0,0.0,1.0,,CHTR
+5Y,1,,0.3694,,,,,,,,,,,,,,,,,,,,,,CHTR
-5Y,1,,-0.0081,,,,,,,,,,,,,,,,,,,,,,CHTR
0Q,1,2021-12-31,-0.096999995,5.95,5.77,6.14,6.59,16.0,-0.096999995,8990010000.0,8899440000.0,9085000000.0,13.0,10212000000.0,-0.12,5.95,5.95,5.97,5.97,5.98,0.0,0.0,0.0,,NOC
+1Q,1,2022-03-31,-0.068,6.12,5.97,6.48,6.57,7.0,-0.068,9151680000.0,9061030000.0,9316000000.0,3.0,8531920000.0,0.073,6.12,6.12,6.12,6.13,6.41,0.0,0.0,0.0,,NOC
0Y,1,2021-12-31,0.081999995,25.59,25.4,25.82,23.65,18.0,0.081999995,36043900000.0,35840500000.0,36475000000.0,18.0,36799000000.0,-0.021,25.59,25.59,25.6,25.6,24.97,1.0,1.0,0.0,,NOC
+1Y,1,2022-12-31,-0.02,25.08,24.05,27.3,25.59,18.0,-0.02,37023600000.0,36638000000.0,37989000000.0,18.0,36043900000.0,0.027,25.08,25.08,25.11,25.1,26.05,0.0,0.0,1.0,,NOC
+5Y,1,,0.06,,,,,,,,,,,,,,,,,,,,,,NOC
-5Y,1,,0.20005,,,,,,,,,,,,,,,,,,,,,,NOC
0Q,1,2021-12-31,0.16700001,3.07,2.9,3.3,2.63,23.0,0.16700001,2839060000.0,2726700000.0,2966000000.0,19.0,2573000000.0,0.103,3.07,3.08,3.1,3.1,3.03,0.0,0.0,1.0,,NSC
+1Q,1,2022-03-31,0.192,3.17,3.01,3.35,2.66,13.0,0.192,2862760000.0,2798000000.0,2916000000.0,9.0,2615880000.0,0.094,3.17,3.17,3.16,3.16,3.03,1.0,1.0,0.0,,NSC
0Y,1,2021-12-31,0.303,12.05,11.86,12.28,9.25,22.0,0.303,11120900000.0,10987000000.0,11256000000.0,24.0,9789000000.0,0.136,12.05,12.06,12.08,12.08,11.92,0.0,0.0,1.0,,NSC
+1Y,1,2022-12-31,0.14,13.74,12.98,14.75,12.05,27.0,0.14,11940200000.0,11598000000.0,12394000000.0,24.0,11120900000.0,0.074,13.74,13.73,13.71,13.75,13.26,0.0,3.0,1.0,,NSC
+5Y,1,,0.17639999,,,,,,,,,,,,,,,,,,,,,,NSC
-5Y,1,,0.15989,,,,,,,,,,,,,,,,,,,,,,NSC
0Q,1,2021-12-31,0.938,18.47,16.51,21.73,9.53,15.0,0.938,4338080000.0,4024050000.0,4771000000.0,19.0,2422900000.0,0.79,18.47,18.47,18.23,16.44,14.93,0.0,2.0,0.0,,REGN
+1Q,1,2022-03-31,0.202,12.13,10.25,13.2,10.09,6.0,0.202,3253940000.0,2938500000.0,3604200000.0,8.0,2550660000.0,0.276,12.13,12.13,11.46,11.89,12.34,0.0,1.0,0.0,,REGN
0Y,1,2021-12-31,1.248,70.75,68.8,73.7,31.47,16.0,1.248,15439300000.0,15100000000.0,15891000000.0,23.0,8497100000.0,0.817,70.75,70.75,70.74,64.01,61.86,0.0,1.0,0.0,,REGN
+1Y,1,2022-12-31,-0.324,47.81,31.0,65.41,70.75,23.0,-0.324,12651100000.0,9945180000.0,15402000000.0,26.0,15439300000.0,-0.18100001,47.81,47.81,46.36,44.98,44.3,0.0,3.0,0.0,,REGN
+5Y,1,,0.13,,,,,,,,,,,,,,,,,,,,,,REGN
-5Y,1,,0.21597,,,,,,,,,,,,,,,,,,,,,,REGN
0Q,1,2021-12-31,0.1,0.55,0.53,0.57,0.5,22.0,0.1,1355460000.0,1323000000.0,1389000000.0,21.0,1191700000.0,0.137,0.55,0.55,0.55,0.55,0.56,0.0,0.0,2.0,,EW
+1Q,1,2022-03-31,0.111,0.6,0.56,0.62,0.54,16.0,0.111,1359820000.0,1316900000.0,1422300000.0,14.0,1216600000.0,0.118,0.6,0.6,0.59,0.59,0.6,1.0,6.0,0.0,,EW
0Y,1,2021-12-31,0.215,2.26,2.23,2.29,1.86,23.0,0.215,5256270000.0,5165000000.0,5291800000.0,25.0,4386300000.0,0.198,2.26,2.26,2.26,2.26,2.26,0.0,2.0,3.0,,EW
+1Y,1,2022-12-31,0.142,2.58,2.46,2.64,2.26,23.0,0.142,5821180000.0,5676000000.0,6011550000.0,25.0,5256270000.0,0.107,2.58,2.58,2.58,2.58,2.59,2.0,8.0,1.0,,EW
+5Y,1,,0.1531,,,,,,,,,,,,,,,,,,,,,,EW
-5Y,1,,0.25794,,,,,,,,,,,,,,,,,,,,,,EW
0Q,1,2021-12-31,0.025999999,0.79,0.76,0.83,0.77,16.0,0.025999999,4464650000.0,4396000000.0,4587000000.0,11.0,4324000000.0,0.033,0.79,0.79,0.79,0.79,0.82,0.0,0.0,1.0,,CL
+1Q,1,2022-03-31,0.025,0.82,0.77,0.88,0.8,13.0,0.025,4492560000.0,4427000000.0,4532880000.0,8.0,4344000000.0,0.034,0.82,0.82,0.82,0.82,0.84,0.0,0.0,0.0,,CL
0Y,1,2021-12-31,0.049000002,3.21,3.15,3.24,3.06,20.0,0.049000002,17473800000.0,17414000000.0,17605000000.0,19.0,16471000000.0,0.061,3.21,3.21,3.21,3.21,3.23,0.0,0.0,1.0,,CL
+1Y,1,2022-12-31,0.055999998,3.39,3.22,3.53,3.21,21.0,0.055999998,18062500000.0,17631600000.0,18316000000.0,19.0,17473800000.0,0.034,3.39,3.39,3.4,3.4,3.45,0.0,0.0,2.0,,CL
+5Y,1,,0.0612,,,,,,,,,,,,,,,,,,,,,,CL
-5Y,1,,0.0021799998,,,,,,,,,,,,,,,,,,,,,,CL
0Q,1,2021-12-31,,0.34,0.34,0.36,,12.0,,5382380000.0,5344960000.0,5410700000.0,11.0,,,0.34,0.34,0.34,0.33,0.33,0.0,0.0,0.0,,SLB
+1Q,1,2022-03-31,,0.33,0.31,0.34,,12.0,,5243050000.0,5108990000.0,5370880000.0,9.0,,,0.33,0.32,0.33,0.32,0.31,0.0,0.0,0.0,,SLB
0Y,1,2021-12-31,,1.12,1.09,1.18,,15.0,,20159500000.0,20124300000.0,20189800000.0,12.0,,,1.12,1.12,1.12,1.09,1.07,0.0,0.0,0.0,,SLB
+1Y,1,2022-12-31,0.455,1.63,1.57,1.85,1.12,15.0,0.455,23038100000.0,22231000000.0,23360000000.0,12.0,20159500000.0,0.143,1.63,1.63,1.63,1.59,1.5,0.0,1.0,0.0,,SLB
+5Y,1,,0.36400002,,,,,,,,,,,,,,,,,,,,,,SLB
-5Y,1,,-0.20357001,,,,,,,,,,,,,,,,,,,,,,SLB
0Q,1,2021-12-31,0.099,1.33,1.21,1.56,1.21,25.0,0.099,2845340000.0,2701000000.0,3043000000.0,23.0,3051000000.0,-0.067,1.33,1.33,1.33,1.33,1.39,0.0,1.0,0.0,,ATVI
+1Q,1,2022-03-31,-0.036,0.81,0.67,0.98,0.84,13.0,-0.036,1901220000.0,1410000000.0,2093000000.0,12.0,1780640000.0,0.068,0.81,0.81,0.81,0.77,0.82,0.0,0.0,0.0,,ATVI
0Y,1,2021-12-31,0.095,3.8,3.7,4.04,3.47,28.0,0.095,8725550000.0,8630000000.0,8910000000.0,29.0,8419000000.0,0.036,3.8,3.8,3.8,3.81,3.83,0.0,0.0,0.0,,ATVI
+1Y,1,2022-12-31,0.0,3.8,3.3,4.23,3.8,27.0,0.0,9028960000.0,8500000000.0,9675000000.0,29.0,8725550000.0,0.035,3.8,3.8,3.81,3.86,4.38,0.0,0.0,0.0,,ATVI
+5Y,1,,0.13260001,,,,,,,,,,,,,,,,,,,,,,ATVI
-5Y,1,,0.11885,,,,,,,,,,,,,,,,,,,,,,ATVI
0Q,1,2021-12-31,0.008,2.63,2.51,2.8,2.61,20.0,0.008,5501720000.0,5429700000.0,5637640000.0,16.0,,,2.63,2.63,2.64,2.66,2.8,0.0,0.0,1.0,,EL
+1Q,1,2022-03-31,0.185,1.92,1.82,2.09,1.62,19.0,0.185,4454600000.0,4291000000.0,4666000000.0,16.0,,,1.92,1.92,1.92,1.93,1.95,0.0,0.0,0.0,,EL
0Y,1,2022-06-30,0.157,7.46,7.3,7.75,6.45,24.0,0.157,18769000000.0,18467700000.0,19164000000.0,23.0,16229000000.0,0.157,7.46,7.46,7.46,7.43,7.43,1.0,1.0,0.0,,EL
+1Y,1,2023-06-30,0.143,8.53,8.05,9.41,7.46,24.0,0.143,20447600000.0,19877700000.0,21643000000.0,23.0,18769000000.0,0.088999994,8.53,8.53,8.54,8.49,8.47,1.0,1.0,0.0,,EL
+5Y,1,,0.1471,,,,,,,,,,,,,,,,,,,,,,EL
-5Y,1,,0.15077,,,,,,,,,,,,,,,,,,,,,,EL
0Q,1,2021-12-31,,0.99,0.89,1.03,,7.0,,0.0,0.0,0.0,0.0,,,0.99,0.99,1.03,1.1,1.32,0.0,0.0,0.0,,NEM
+1Q,1,2022-03-31,,1.06,0.78,1.43,,6.0,,0.0,0.0,0.0,0.0,,,1.06,1.06,1.1,1.16,1.18,0.0,0.0,0.0,,NEM
0Y,1,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,NEM
+1Y,1,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,NEM
+5Y,1,,,,,,,,,,,,,,,,,,,,,,,,NEM
-5Y,1,,,,,,,,,,,,,,,,,,,,,,,,NEM
0Q,1,2021-12-31,0.099,4.54,4.18,5.21,4.13,21.0,0.099,15372500000.0,15198000000.0,15622000000.0,19.0,14293000000.0,0.076,4.54,4.54,4.56,4.56,4.43,1.0,1.0,0.0,,HCA
+1Q,1,2022-03-31,0.065,4.41,3.71,5.06,4.14,16.0,0.065,14860700000.0,14049000000.0,15759000000.0,14.0,13635200000.0,0.09,4.41,4.41,4.43,4.42,4.3,0.0,0.0,0.0,,HCA
0Y,1,2021-12-31,0.53099996,17.77,16.8,20.07,11.61,23.0,0.53099996,58993700000.0,58100000000.0,59310000000.0,25.0,51533000000.0,0.145,17.77,17.66,17.61,17.61,16.82,2.0,2.0,0.0,,HCA
+1Y,1,2022-12-31,0.051999997,18.7,17.58,20.94,17.77,24.0,0.051999997,61441200000.0,59376000000.0,64050000000.0,24.0,58993700000.0,0.040999997,18.7,18.7,18.58,18.57,17.91,1.0,2.0,0.0,,HCA
+5Y,1,,0.1571,,,,,,,,,,,,,,,,,,,,,,HCA
-5Y,1,,0.16405001,,,,,,,,,,,,,,,,,,,,,,HCA
0Q,1,2021-12-31,1.4389999,1.39,0.87,1.78,0.57,18.0,1.4389999,1697250000.0,1687940000.0,1704950000.0,19.0,1564110000.0,0.085,1.39,1.39,1.4,1.5,1.54,0.0,1.0,0.0,,EQIX
+1Q,1,2022-03-31,0.034,1.8,1.37,2.07,1.74,14.0,0.034,1734260000.0,1719160000.0,1755000000.0,13.0,1596060000.0,0.087,1.8,1.8,1.82,1.83,1.82,0.0,0.0,0.0,,EQIX
0Y,1,2021-12-31,0.32099998,5.52,5.05,5.95,4.18,21.0,0.32099998,6627330000.0,6617100000.0,6647510000.0,23.0,5998540000.0,0.105,5.52,5.52,5.53,5.58,5.71,0.0,2.0,0.0,,EQIX
+1Y,1,2022-12-31,0.4,7.73,6.51,9.56,5.52,22.0,0.4,7165410000.0,7024000000.0,7320300000.0,24.0,6627330000.0,0.081,7.73,7.73,7.61,7.86,8.02,0.0,0.0,0.0,,EQIX
+5Y,1,,0.37,,,,,,,,,,,,,,,,,,,,,,EQIX
-5Y,1,,0.18468,,,,,,,,,,,,,,,,,,,,,,EQIX
0Q,1,2021-12-31,0.26700002,3.32,3.0,3.59,2.62,14.0,0.26700002,3145230000.0,3069000000.0,3257200000.0,10.0,2965000000.0,0.061,3.32,3.32,3.35,3.36,3.4,0.0,0.0,1.0,,AON
+1Q,1,2022-03-31,0.124,4.81,4.66,4.92,4.28,13.0,0.124,3765120000.0,3704000000.0,3876500000.0,10.0,3354430000.0,0.122,4.81,4.81,4.82,4.79,4.74,0.0,0.0,1.0,,AON
0Y,1,2021-12-31,0.186,11.63,11.32,11.89,9.81,15.0,0.186,12270800000.0,12182000000.0,12387000000.0,11.0,11066000000.0,0.109,11.63,11.63,11.66,11.63,11.67,0.0,0.0,1.0,,AON
+1Y,1,2022-12-31,0.125,13.08,12.66,13.5,11.63,15.0,0.125,13028500000.0,12815000000.0,13408000000.0,11.0,12270800000.0,0.062,13.08,13.08,13.11,13.07,12.95,0.0,0.0,1.0,,AON
+5Y,1,,0.1421,,,,,,,,,,,,,,,,,,,,,,AON
-5Y,1,,0.07912,,,,,,,,,,,,,,,,,,,,,,AON
0Q,1,2021-12-31,0.315,3.3,3.03,3.7,2.51,20.0,0.315,2005640000.0,1911620000.0,2092600000.0,20.0,1627820000.0,0.23200001,3.3,3.3,3.29,3.25,3.13,0.0,0.0,0.0,,VRTX
+1Q,1,2022-03-31,0.11399999,3.32,2.66,3.61,2.98,10.0,0.11399999,2010430000.0,1940200000.0,2065000000.0,10.0,1657350000.0,0.213,3.32,3.32,3.29,3.25,3.11,0.0,0.0,0.0,,VRTX
