Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days,stock
+1Q,1,2022-03-31,1.14,1.99,1.4,2.62,0.93,13.0,1.14,16100200000.0,13845000000.0,18846600000.0,11.0,10389000000.0,0.55,1.99,1.77,1.77,1.73,1.67,5.0,5.0,0.0,,TSLA
0Y,1,2021-12-31,1.795,6.26,4.3,7.22,2.24,32.0,1.795,51927000000.0,49852000000.0,54454000000.0,36.0,31536000000.0,0.64699996,6.26,6.07,6.06,6.04,5.46,10.0,13.0,0.0,,TSLA
+1Y,1,2022-12-31,0.39900002,8.76,5.94,12.29,6.26,31.0,0.39900002,73291600000.0,57127000000.0,87731200000.0,36.0,51927000000.0,0.41099998,8.76,8.25,8.17,7.92,7.22,9.0,13.0,1.0,,TSLA
+5Y,1,,0.7295,,,,,,,,,,,,,,,,,,,,,,TSLA
-5Y,1,,,,,,,,,,,,,,,,,,,,,,,,TSLA
0Q,1,2022-01-31,0.584,1.22,1.2,1.25,0.77,30.0,0.584,7413390000.0,7341000000.0,7592710000.0,31.0,5003000000.0,0.482,1.22,1.22,1.22,1.08,1.08,0.0,0.0,0.0,,NVDA
+1Q,1,2022-04-30,0.286,1.17,1.02,1.31,0.91,29.0,0.286,7270150000.0,6315000000.0,7644910000.0,29.0,5661000000.0,0.284,1.17,1.17,1.17,1.03,1.03,0.0,0.0,0.0,,NVDA
0Y,1,2022-01-31,0.736,4.34,4.32,4.37,2.5,33.0,0.736,26680100000.0,26517000000.0,26871000000.0,39.0,16675000000.0,0.6,4.34,4.34,4.34,4.13,4.14,0.0,2.0,0.0,,NVDA
+1Y,1,2023-01-31,0.2,5.21,4.62,6.0,4.34,34.0,0.2,31740100000.0,28658000000.0,34396000000.0,38.0,26680100000.0,0.19,5.21,5.21,5.2,4.67,4.68,1.0,4.0,0.0,,NVDA
+5Y,1,,0.3937,,,,,,,,,,,,,,,,,,,,,,NVDA
-5Y,1,,0.52827,,,,,,,,,,,,,,,,,,,,,,NVDA
0Q,1,2021-12-31,-0.01,3.84,3.52,4.47,3.88,39.0,-0.01,33382800000.0,32204300000.0,35584000000.0,38.0,28072000000.0,0.189,3.84,3.84,3.84,3.83,4.06,0.0,0.0,1.0,,FB
+1Q,1,2022-03-31,-0.081999995,3.03,2.33,3.53,3.3,25.0,-0.081999995,30114400000.0,26550000000.0,31500000000.0,25.0,23670500000.0,0.272,3.03,3.03,3.01,2.99,3.39,0.0,0.0,0.0,,FB
0Y,1,2021-12-31,0.382,13.94,13.34,14.59,10.09,51.0,0.382,117679000000.0,116462000000.0,119842000000.0,51.0,85965000000.0,0.36900002,13.94,13.94,13.95,13.93,14.14,0.0,0.0,1.0,,FB
+1Y,1,2022-12-31,0.021,14.23,11.94,16.37,13.94,54.0,0.021,140060000000.0,132528000000.0,146767000000.0,52.0,117679000000.0,0.19,14.23,14.23,14.26,14.22,16.06,0.0,0.0,1.0,,FB
+5Y,1,,0.21350001,,,,,,,,,,,,,,,,,,,,,,FB
-5Y,1,,0.42119998,,,,,,,,,,,,,,,,,,,,,,FB
0Q,1,2021-12-31,0.71,4.31,4.19,4.39,2.52,24.0,0.71,72672100000.0,70223000000.0,73946000000.0,18.0,65467000000.0,0.11,4.31,4.31,4.31,4.31,4.34,0.0,3.0,0.0,,UNH
+1Q,1,2022-03-31,0.06,5.63,5.11,6.25,5.31,21.0,0.06,78447100000.0,75034600000.0,79891000000.0,14.0,70196000000.0,0.118,5.63,5.63,5.6,5.54,5.47,0.0,10.0,0.0,,UNH
0Y,1,2021-12-31,0.117,18.85,18.73,18.93,16.88,30.0,0.117,286545000000.0,283841000000.0,290179000000.0,26.0,257141000000.0,0.11399999,18.85,18.85,18.85,18.85,18.75,2.0,6.0,0.0,,UNH
+1Y,1,2022-12-31,0.14899999,21.65,21.2,22.37,18.85,29.0,0.14899999,316881000000.0,303851000000.0,336004000000.0,25.0,286545000000.0,0.106000006,21.65,21.65,21.63,21.65,21.6,2.0,5.0,0.0,,UNH
+5Y,1,,0.1417,,,,,,,,,,,,,,,,,,,,,,UNH
-5Y,1,,0.23488002,,,,,,,,,,,,,,,,,,,,,,UNH
0Q,1,2021-12-31,0.14,2.12,2.01,2.15,1.86,14.0,0.14,25297800000.0,25082000000.0,26051000000.0,12.0,22475000000.0,0.126,2.12,2.12,2.13,2.13,2.23,0.0,0.0,0.0,,JNJ
+1Q,1,2022-03-31,0.012,2.62,2.5,2.68,2.59,4.0,0.012,23822800000.0,23389900000.0,24260500000.0,4.0,21981400000.0,0.084,2.62,2.62,2.61,2.64,2.61,0.0,0.0,0.0,,JNJ
0Y,1,2021-12-31,0.22,9.8,9.69,9.82,8.03,18.0,0.22,94291400000.0,94051000000.0,95021700000.0,17.0,82584000000.0,0.142,9.8,9.8,9.8,9.8,9.66,0.0,0.0,0.0,,JNJ
+1Y,1,2022-12-31,0.059,10.38,9.46,11.2,9.8,18.0,0.059,97964800000.0,95559000000.0,101869000000.0,17.0,94291400000.0,0.039,10.38,10.38,10.39,10.33,10.43,0.0,0.0,0.0,,JNJ
+5Y,1,,0.08189999,,,,,,,,,,,,,,,,,,,,,,JNJ
-5Y,1,,0.09925,,,,,,,,,,,,,,,,,,,,,,JNJ
